id,__latitude,__longitude,country,country__shape,country__colour,year,year__shape,year__colour,haplotype,haplotype__shape,haplotype__colour
10593_2_46_GuiE99-6478_1999,11,-10,Guinea,circle,#7FFFD4,1999,square,#006400,,triangle,#FFFAFA
10593_2_47_CamerIPCR_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_48_Vie73-1102_1973,16,106,Vietnam,circle,#FFA500,1973,square,#FFD700,,triangle,#FFFAFA
10593_2_49_BanE00-5869_2000,24,90,Bangladesh,circle,#FF0000,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_5_IndE00-2756_2000,20,77,India,circle,#FF6347,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_50_CamerIPCT_2007,6,12,Cameroon,circle,#000080,2007,square,#B0C4DE,,triangle,#FFFAFA
10593_2_51_IndE02-2612_2002,20,77,India,circle,#FF6347,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_52_CamerIPCQ_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_53_Camer07-291_2007,6,12,Cameroon,circle,#000080,2007,square,#B0C4DE,,triangle,#FFFAFA
10593_2_54_TunE99-5920_1999,34,9,Tunisia,circle,#E0FFFF,1999,square,#006400,,triangle,#FFFAFA
10593_2_55_AlgE99-8067_1999,28,3,Algeria,circle,#87CEFA,1999,square,#006400,,triangle,#FFFAFA
10593_2_56_Camer07-702_2007,6,12,Cameroon,circle,#000080,2007,square,#B0C4DE,,triangle,#FFFAFA
10593_2_57_Mali08-10571_2008,17,-4,Mali,circle,#3CB371,2008,square,#6495ED,,triangle,#FFFAFA
10593_2_58_Ben04-6845_2004,9.5,2.25,Benin,circle,#00CED1,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_59_MaliE00-3201_2000,17,-4,Mali,circle,#3CB371,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_6_MorE00-3370_2000,32,-5,Morocco,circle,#ADD8E6,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_60_TurE01-0407_2001,39,35,Turkey,circle,#D2B48C,2001,square,#E0FFFF,,triangle,#FFFAFA
10593_2_61_CamerIPCP_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_62_BurFas06-1513_2006,13,-2,BurkinaFaso,circle,#008080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_63_Alg09-6677_2009,28,3,Algeria,circle,#87CEFA,2009,square,#4682B4,,triangle,#FFFAFA
10593_2_64_Con08-7714_2008,0,25,DemocraticRepublicCongo,circle,#4169E1,2008,square,#6495ED,,triangle,#FFFAFA
10593_2_65_CAR07-977_2007,7,21,CentralAfrica Republic,circle,#0000FF,2007,square,#B0C4DE,,triangle,#FFFAFA
10593_2_66_Camer06-5029_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_67_FreGuiE02-1536_2002,4,-53,FrenchGuiana,circle,#4B0082,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_68_ComE02-0937_2002,-12.1667,44.25,Comoros,circle,#6495ED,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_69_Tog06-7490_2006,8,1.1667,Togo,circle,#32CD32,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_7_CamerE02-0945_2002,6,12,Cameroon,circle,#000080,2002,square,#B0E0E6,,triangle,#FFFAFA
10593_2_72_CARQ0904130_2006,7,21,CentralAfricanRepublic,circle,#0000FF,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_73_IvoCoa08-4327_2008,7.539989,-5.54708,IvoryCoast,circle,#66CDAA,2008,square,#6495ED,,triangle,#FFFAFA
10593_2_74_France_African_meal09-2597_2009,46,2,France,circle,#808080,2009,square,#4682B4,,triangle,#FFFAFA
10593_2_75_AlgE99-8095_1999,28,3,Algeria,circle,#87CEFA,1999,square,#006400,,triangle,#FFFAFA
10593_2_76_CamerIPCS_2006,6,12,Cameroon,circle,#000080,2006,square,#00BFFF,,triangle,#FFFAFA
10593_2_77_CamerIPCN_2005,6,12,Cameroon,circle,#000080,2005,square,#87CEFA,,triangle,#FFFAFA
10593_2_78_LebE01-7006_2001,33.8333,35.8333,Lebanon,circle,#F4A460,2001,square,#E0FFFF,,triangle,#FFFAFA
10593_2_79_TogE01-7101_2001,8,1.1667,Togo,circle,#32CD32,2001,square,#E0FFFF,,triangle,#FFFAFA
10593_2_8_Tog04-0339_2004,8,1.1667,Togo,circle,#32CD32,2004,square,#87CEEB,,triangle,#FFFAFA
10593_2_81_TunE00-7666_2000,34,9,Tunisia,circle,#E0FFFF,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_82_AngE01-5741_2001,-12.5,18.5,Angola,circle,#191970,2001,square,#E0FFFF,,triangle,#FFFAFA
10593_2_83_IndoE00-6172_2000,-5,120,Indonesia,circle,#FFFF00,2000,square,#F0FFFF,,triangle,#FFFAFA
10593_2_9_MorE99-6785_1999,32,-5,Morocco,circle,#ADD8E6,1999,square,#006400,,triangle,#FFFAFA
10607_1_51_Cam002168_2010,13,105,Cambodia,circle,#FFD700,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_11_MalBKQ1GA_2012,-13.5,34,Malawi,circle,#00FFFF,2012,square,#0000FF,,triangle,#FFFAFA
10607_2_12_Mal1007000_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_21_MalD56675_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_22_MalA59204_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_28_MalD55055_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_29_MalD56393_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_3_MalA57501_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_30_MalA58452_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_33_MalA58450_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_34_MalD54782_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_4_MalA58372_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_41_MalA59307_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10607_2_8_Mal1004971_2010,-13.5,34,Malawi,circle,#00FFFF,2010,square,#4169E1,,triangle,#FFFAFA
10608_2_62_Cam014737_2012,13,105,Cambodia,circle,#FFD700,2012,square,#0000FF,,triangle,#FFFAFA
7468_7_50_Tan_Zan_IB5336_2009,-6,35,Tanzania,circle,#4682B4,2009,square,#4682B4,,triangle,#FFFAFA
7468_7_53_Tan_Zan_IB5339_2009,-6,35,Tanzania,circle,#4682B4,2009,square,#4682B4,,triangle,#FFFAFA
7468_7_54_Tan_Zan_IB5340_2009,-6,35,Tanzania,circle,#4682B4,2009,square,#4682B4,,triangle,#FFFAFA
7468_7_56_Tan_Zan_IB5342_2009,-6,35,Tanzania,circle,#4682B4,2009,square,#4682B4,,triangle,#FFFAFA
7468_7_72_Tan_Zan_IB5359_2010,-6,35,Tanzania,circle,#4682B4,2010,square,#4169E1,,triangle,#FFFAFA
7468_7_73_Tan_Zan_IB5360_2009,-6,35,Tanzania,circle,#4682B4,2009,square,#4682B4,,triangle,#FFFAFA
7468_7_78_Tan_Zan_IB5367_2009,-6,35,Tanzania,circle,#4682B4,2009,square,#4682B4,,triangle,#FFFAFA
